Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Age at enrollment,Scholarship holder,Gender,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Tuition fees up to date,Debtor,Daytime/evening attendance,Previous qualification,Target
0,0,0,0.0,0,0,0,0.0,18,1,0,1,28,5,9,1,0,1,0,1,1,Graduate
7,8,7,14.05,8,8,8,15.1,19,0,0,13,27,5,8,1,0,1,0,1,1,Graduate
7,8,7,14.85,8,8,8,15.2,18,0,0,3,3,5,6,1,0,1,0,1,1,Dropout
6,10,6,13.0,6,19,5,13.0,19,0,0,3,3,3,3,1,0,1,0,1,14,Graduate
7,8,7,14.7875,8,8,8,15.8625,19,1,0,22,27,10,8,1,0,1,0,1,1,Graduate
7,7,7,13.7,6,8,7,14.671428571428574,19,1,0,13,14,10,8,0,0,1,0,1,1,Graduate
7,7,7,12.495714285714286,8,9,7,12.242857142857144,19,1,0,1,27,5,5,1,0,1,0,1,1,Dropout
7,7,6,14.566666666666668,7,8,6,14.566666666666668,19,0,0,1,28,2,10,0,0,1,0,1,1,Graduate
5,5,5,11.2,5,5,4,11.25,25,0,0,1,14,2,6,1,0,0,1,1,9,Dropout
8,8,7,12.685714285714283,8,8,7,12.685714285714283,20,0,0,13,14,5,11,0,0,1,0,1,1,Graduate
9,12,7,13.571428571428571,9,14,4,13.25,23,0,0,1,14,6,6,0,0,0,1,1,16,Dropout
6,0,0,0.0,6,0,0,0.0,20,0,0,13,27,8,10,1,0,1,0,1,1,Dropout
6,8,5,11.0,6,7,6,11.166666666666666,27,0,0,22,9,10,11,0,0,1,0,0,1,Graduate
8,8,8,14.445,8,8,8,14.445,18,0,0,13,1,5,5,0,0,1,0,1,1,Graduate
6,9,5,13.6,6,10,4,11.75,18,0,0,13,1,6,11,1,0,1,1,1,1,Enrolled
12,12,11,14.0,10,11,8,14.625,23,0,0,13,1,6,11,1,0,0,1,0,15,Dropout
7,7,6,13.416666666666666,7,7,6,13.416666666666666,19,1,0,23,27,6,7,1,0,1,0,1,1,Graduate
5,8,5,12.333333333333334,5,7,5,11.4,18,0,0,22,28,4,4,0,0,1,0,1,1,Graduate
7,8,7,13.1,8,8,8,14.8125,20,0,0,1,14,10,9,1,0,1,0,1,1,Graduate
6,9,4,13.2,6,10,5,12.8,18,0,0,13,14,10,10,1,0,1,0,1,1,Graduate
8,8,8,14.75,8,8,8,14.75,19,1,0,1,1,5,5,1,0,1,0,1,1,Graduate
6,9,4,12.5,6,9,5,12.5,19,0,0,23,27,6,6,0,0,1,0,1,1,Enrolled
5,6,4,13.75,5,8,5,14.857142857142858,18,0,0,3,3,2,12,0,0,1,0,1,1,Graduate
6,6,6,13.333333333333334,6,6,6,12.0,18,0,0,13,14,5,8,1,0,1,0,1,1,Graduate
11,11,11,11.727272727272728,8,8,8,12.0,28,0,0,13,28,10,10,0,0,0,0,1,1,Dropout
6,8,4,12.5,6,11,1,14.0,19,0,0,22,27,6,10,1,0,1,0,1,1,Dropout
0,0,0,0.0,0,0,0,0.0,20,0,0,3,1,3,4,1,0,1,1,1,1,Dropout
7,8,6,13.533333333333331,8,9,7,13.614285714285714,19,1,0,1,27,5,10,1,0,1,0,1,1,Graduate
6,6,6,13.166666666666666,6,6,6,12.666666666666666,20,1,0,1,14,5,1,0,1,1,0,1,1,Graduate
6,9,5,13.2,6,8,5,11.0,19,1,0,13,14,10,10,1,0,1,0,1,1,Graduate
6,7,5,12.2,6,7,4,12.6,21,0,0,5,1,3,11,1,0,1,0,1,1,Enrolled
7,7,7,13.428571428571429,7,7,7,14.857142857142858,19,1,0,1,14,10,5,1,0,1,0,1,1,Graduate
6,8,6,12.714285714285714,6,8,6,12.625,18,1,0,13,1,10,4,1,0,1,0,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,19,0,0,3,1,3,2,0,0,1,0,1,1,Dropout
6,6,6,13.666666666666666,6,9,6,13.666666666666666,19,1,0,10,28,10,6,0,0,1,0,1,1,Graduate
6,6,5,11.0,6,6,6,13.166666666666666,20,0,0,23,14,18,16,0,0,1,1,1,1,Graduate
7,11,5,11.4,7,9,6,13.333333333333334,18,0,0,1,1,5,1,1,0,1,0,1,1,Enrolled
0,0,0,0.0,0,0,0,0.0,18,0,0,13,14,6,8,0,0,1,0,1,1,Enrolled
5,7,6,12.0,6,6,6,12.0,18,0,0,1,1,5,6,0,0,1,0,1,1,Graduate
6,6,0,0.0,6,0,0,0.0,18,0,0,13,14,6,9,0,0,1,0,1,1,Dropout
6,14,5,11.0,6,6,6,11.666666666666666,18,0,0,22,28,1,8,1,0,1,0,1,1,Graduate
6,12,5,12.0,6,8,6,11.571428571428571,20,0,0,13,14,5,5,1,0,1,0,1,1,Dropout
7,7,7,13.308571428571428,8,10,8,12.55,19,1,0,13,1,10,10,1,0,1,0,1,1,Graduate
6,8,3,13.666666666666666,6,7,3,10.666666666666666,21,0,0,22,27,10,10,1,0,0,1,1,1,Dropout
6,6,0,0.0,6,9,0,0.0,20,0,0,10,3,6,9,1,0,0,1,1,3,Dropout
6,10,5,12.2,6,8,4,11.25,18,0,0,22,28,10,10,1,0,1,0,1,1,Graduate
6,7,6,12.666666666666666,6,6,6,12.833333333333334,20,1,0,1,4,6,4,0,0,1,0,1,1,Graduate
8,8,8,14.07125,8,8,8,14.07125,19,1,0,13,27,2,10,1,0,1,0,1,1,Graduate
5,14,4,14.25,5,9,5,13.2,22,0,0,13,14,10,10,1,0,1,0,1,6,Dropout
6,0,0,0.0,2,2,0,0.0,22,0,0,13,14,10,10,1,0,0,0,1,1,Dropout
6,10,3,12.0,6,8,4,10.25,18,0,0,23,28,8,6,1,0,1,0,1,1,Enrolled
10,18,6,11.166666666666666,10,16,7,10.571428571428571,21,0,0,3,14,10,10,0,0,1,0,1,1,Enrolled
6,12,2,13.0,6,8,5,11.6,19,0,0,13,14,1,6,1,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,19,0,0,22,28,10,10,1,0,1,0,1,1,Dropout
7,8,7,12.65,8,9,8,12.445555555555554,18,1,0,23,14,9,9,1,0,1,1,1,1,Graduate
6,12,7,11.0,6,5,6,10.6,22,0,0,1,27,6,10,0,0,0,0,0,16,Dropout
5,7,4,12.4,5,9,5,12.666666666666666,20,0,0,13,26,12,8,1,0,1,0,1,1,Graduate
6,7,6,12.0,6,7,6,12.666666666666666,19,0,0,23,28,7,7,0,0,1,0,1,14,Graduate
7,8,7,12.135714285714286,8,10,7,13.328571428571427,19,1,0,1,14,7,8,1,0,1,0,1,1,Graduate
7,10,5,12.62,7,8,6,12.5,20,1,0,23,14,10,8,1,0,1,0,1,1,Enrolled
5,8,3,10.666666666666666,5,11,6,11.333333333333334,25,0,0,23,28,4,4,0,0,1,0,0,1,Graduate
7,12,6,13.766666666666666,8,10,7,14.051428571428572,19,1,0,13,14,10,8,0,0,1,0,1,1,Graduate
8,8,8,13.11625,8,8,8,13.11625,19,0,0,23,27,10,8,1,0,1,0,1,1,Graduate
5,5,0,0.0,6,0,0,0.0,19,0,0,3,28,2,10,1,0,0,0,1,1,Dropout
7,9,6,0.0,6,8,7,13.571428571428571,18,0,0,23,14,10,6,1,0,1,0,1,1,Graduate
7,11,7,11.857142857142858,8,21,5,11.7,25,0,0,22,27,10,10,1,0,1,0,1,1,Enrolled
6,7,6,12.333333333333334,7,7,6,12.333333333333334,20,1,0,13,28,6,10,1,0,1,0,1,1,Graduate
6,9,4,15.75,6,10,5,16.4,24,0,0,23,14,10,10,1,0,1,0,1,1,Enrolled
5,6,5,13.333333333333334,5,6,5,13.2,20,0,0,1,1,6,6,0,0,1,0,1,1,Graduate
7,9,7,14.355555555555554,8,8,8,13.49375,21,0,0,1,14,5,9,1,0,1,0,1,1,Graduate
6,6,6,12.833333333333334,6,6,6,13.5,19,1,0,23,27,10,10,0,0,1,0,1,1,Graduate
5,5,5,13.2,5,5,4,13.0,21,1,0,22,28,10,10,0,0,1,0,1,1,Graduate
7,9,7,17.005555555555556,8,9,8,16.582222222222224,28,0,0,3,27,3,11,0,0,1,0,1,3,Graduate
6,8,5,10.6,6,8,5,11.0,19,1,0,22,28,10,10,1,0,0,1,1,1,Graduate
6,8,7,0.0,8,8,7,12.114285714285714,18,0,0,22,28,10,10,1,0,1,0,1,1,Graduate
8,8,8,13.05875,8,8,8,13.05875,18,1,0,13,27,8,8,1,0,1,0,1,1,Graduate
8,8,7,13.285714285714286,8,8,7,13.285714285714286,22,0,0,1,2,10,4,1,0,1,0,1,1,Graduate
5,9,4,11.0,5,8,3,10.666666666666666,19,0,0,22,27,32,36,1,0,1,0,1,1,Enrolled
7,7,7,14.071428571428571,8,8,8,15.1625,18,1,0,13,1,10,6,0,0,1,0,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,20,0,0,22,27,6,7,0,0,0,0,1,1,Dropout
9,9,4,11.25,10,12,3,11.0,26,0,0,22,27,6,7,0,0,0,0,1,14,Dropout
6,6,6,14.0,6,8,6,13.625,18,1,0,22,28,10,10,1,0,1,0,1,1,Graduate
6,8,6,12.166666666666666,6,11,3,11.666666666666666,21,1,0,1,28,5,10,1,0,1,0,1,1,Dropout
8,8,7,13.297142857142855,8,8,7,13.297142857142855,18,0,0,23,27,4,4,1,0,1,0,1,1,Graduate
6,14,6,13.923076923076923,6,9,6,14.25,20,0,0,13,14,5,7,1,0,1,0,1,1,Graduate
7,11,7,13.37,8,13,7,12.833333333333334,18,0,0,23,14,6,7,1,0,1,0,1,1,Graduate
5,5,5,12.4,5,8,3,11.0,19,1,0,13,28,8,10,0,0,1,0,1,1,Enrolled
5,5,4,15.0,5,5,4,13.75,20,0,0,1,1,3,3,1,0,1,0,1,1,Dropout
6,6,6,13.333333333333334,6,7,6,12.571428571428571,18,1,0,13,14,10,6,0,0,1,1,1,1,Graduate
5,8,3,12.0,5,9,4,12.625,20,1,0,22,27,10,10,1,0,1,0,1,1,Enrolled
6,7,5,13.4,6,9,5,12.2,22,0,0,13,9,1,1,1,0,1,0,0,1,Graduate
0,0,0,0.0,0,0,0,0.0,18,0,0,13,28,5,6,1,0,1,0,1,1,Enrolled
5,9,4,11.5,5,5,5,11.4,21,0,0,13,28,6,8,0,0,1,0,0,1,Graduate
7,12,6,12.0,7,11,6,12.166666666666666,18,0,0,1,1,10,1,0,0,1,0,1,1,Enrolled
8,8,7,13.485714285714284,8,8,7,13.485714285714284,18,0,0,13,14,5,5,0,0,1,0,1,1,Graduate
6,6,6,12.0,6,8,6,11.285714285714286,18,1,0,10,14,5,6,0,1,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,19,0,0,22,27,10,2,1,0,1,0,1,1,Dropout
5,7,3,10.333333333333334,5,11,3,14.428571428571429,19,0,0,1,14,4,6,1,0,1,0,1,1,Enrolled
7,10,5,12.94,7,7,5,13.76,19,0,0,23,1,10,5,1,0,1,0,1,1,Enrolled
8,11,7,13.258571428571427,8,11,7,13.258571428571427,19,0,0,1,27,8,8,1,0,1,0,1,1,Graduate
5,9,4,12.25,5,10,4,12.0,19,0,0,1,2,11,11,1,0,1,0,1,1,Enrolled
6,9,3,11.666666666666666,6,15,1,10.0,19,0,0,23,27,10,8,1,0,0,0,1,1,Dropout
6,7,6,13.571428571428571,6,8,6,12.5,21,0,0,1,27,10,8,1,0,1,0,1,1,Graduate
6,9,5,11.8,6,9,5,11.833333333333334,20,1,0,1,27,10,8,0,0,1,0,1,1,Graduate
5,7,5,14.2,5,7,5,13.285714285714286,20,1,0,13,14,4,10,1,0,1,0,1,1,Graduate
5,8,5,11.0,5,6,5,11.8,41,0,0,22,27,10,10,0,0,1,0,0,12,Graduate
7,16,6,13.625,7,8,6,0.0,32,0,0,22,27,4,4,1,0,1,0,1,15,Enrolled
6,8,6,14.652857142857142,8,8,6,14.652857142857142,18,0,0,23,27,10,6,1,0,1,0,1,1,Graduate
6,9,6,11.333333333333334,6,6,6,11.333333333333334,35,1,0,22,27,4,5,0,0,1,0,0,1,Graduate
7,12,4,13.7,7,7,0,0.0,32,0,0,22,27,10,10,0,0,0,1,1,1,Dropout
11,11,11,13.727272727272728,8,8,8,14.75,37,0,0,13,27,6,10,0,0,1,0,0,15,Graduate
7,9,7,11.75,8,12,7,11.142857142857142,30,0,0,3,27,10,10,0,0,1,0,1,3,Dropout
6,9,6,12.333333333333334,6,11,5,13.0,23,0,1,13,14,1,1,0,0,1,0,1,1,Graduate
6,6,6,14.0,6,7,6,13.857142857142858,20,1,0,3,1,3,8,1,0,1,0,1,1,Dropout
5,7,4,11.5,5,6,4,11.75,21,0,1,13,27,6,8,0,0,1,0,1,1,Graduate
5,8,5,0.0,5,5,6,13.2,19,0,1,1,14,10,8,0,0,1,0,1,1,Graduate
8,8,7,15.07,8,8,7,15.07,18,1,1,1,14,5,4,1,0,1,0,1,1,Graduate
5,6,1,10.0,5,7,1,12.0,18,0,1,19,24,1,1,0,0,1,0,1,1,Dropout
5,5,4,12.0,5,6,5,12.666666666666666,24,0,1,1,1,5,11,0,0,1,0,0,1,Enrolled
6,8,4,13.0,6,8,4,12.6,22,0,0,1,27,10,10,1,0,1,0,1,1,Graduate
6,7,4,11.0,6,7,3,11.25,18,0,1,13,1,6,6,1,0,1,0,1,1,Dropout
6,8,6,13.571428571428571,6,11,5,12.166666666666666,18,0,0,22,27,6,7,1,0,1,0,1,1,Graduate
6,7,5,14.6,6,6,5,14.2,21,0,1,2,1,10,2,1,0,1,0,1,1,Graduate
7,11,7,12.625,8,11,8,12.5125,19,1,0,23,27,10,10,0,0,1,0,1,1,Graduate
7,12,4,11.5,7,14,3,12.333333333333334,36,0,0,22,27,10,10,0,0,1,0,1,1,Dropout
7,9,7,12.60625,8,12,6,11.9,19,0,0,13,14,6,6,1,0,1,0,1,1,Graduate
10,15,8,13.75,9,17,5,13.2,21,0,0,13,28,10,10,0,0,0,1,1,16,Dropout
7,10,6,13.598333333333334,8,11,6,11.933333333333332,19,0,0,13,28,30,43,1,0,1,0,1,1,Enrolled
6,11,5,11.142857142857142,6,8,6,12.285714285714286,18,1,0,13,14,10,10,0,0,1,0,1,1,Graduate
11,8,11,12.7,10,12,10,0.0,45,0,0,22,14,10,8,1,0,1,0,1,3,Enrolled
5,9,1,10.0,5,10,1,11.0,20,0,0,22,27,10,8,1,0,1,0,1,1,Dropout
6,8,6,11.666666666666666,6,10,4,11.5,18,0,0,1,1,10,8,1,0,1,1,1,1,Graduate
5,9,0,0.0,5,9,0,0.0,25,0,0,19,24,1,1,0,0,1,0,1,3,Dropout
8,9,7,12.04142857142857,8,9,7,12.04142857142857,19,0,0,1,1,5,5,1,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,18,1,0,13,14,8,8,1,0,1,0,1,1,Graduate
13,14,13,13.76923076923077,12,16,12,14.583333333333334,39,0,0,1,1,4,7,0,0,1,0,1,15,Graduate
18,20,18,15.444444444444445,13,13,13,15.307692307692308,29,0,0,23,27,10,10,0,0,1,0,1,1,Graduate
7,9,6,11.5,7,8,7,12.714285714285714,18,0,0,13,14,5,8,1,0,1,0,1,1,Enrolled
3,3,2,10.0,6,0,0,0.0,23,0,0,22,2,10,4,0,0,0,0,1,3,Dropout
6,8,4,12.25,6,13,3,10.333333333333334,21,0,0,1,27,6,6,1,0,1,0,1,1,Dropout
6,6,6,14.5,6,6,6,15.166666666666666,18,0,0,1,14,5,5,0,0,0,0,1,1,Graduate
6,7,6,15.571428571428571,6,8,6,16.375,23,0,0,1,14,6,6,1,0,1,0,1,15,Graduate
6,7,6,15.571428571428571,6,7,6,14.714285714285714,18,0,0,1,14,5,5,0,0,1,0,1,1,Graduate
6,8,5,13.8,6,7,6,12.166666666666666,32,0,0,22,27,5,9,0,0,1,0,0,12,Graduate
5,8,3,10.666666666666666,5,14,2,14.8,29,0,0,13,27,10,8,0,0,0,1,1,1,Dropout
6,8,5,11.6,6,8,4,11.75,20,1,0,1,28,32,35,1,0,1,1,1,1,Graduate
6,11,1,13.0,6,12,0,0.0,28,0,0,19,24,1,1,1,0,0,0,1,1,Dropout
5,9,3,12.0,5,11,4,13.625,27,0,0,23,28,2,10,0,0,1,0,1,3,Graduate
14,14,12,12.333333333333334,14,14,12,12.333333333333334,22,0,0,22,24,12,1,0,0,1,1,1,1,Graduate
6,10,6,12.875,6,12,6,12.9,37,0,0,13,27,10,11,0,0,1,1,1,12,Enrolled
6,12,1,11.0,6,0,0,0.0,28,0,0,22,28,1,6,0,0,0,0,0,3,Dropout
6,10,4,12.25,6,13,4,10.5,43,0,0,22,27,10,10,0,0,0,1,1,1,Dropout
7,8,6,0.0,8,8,6,0.0,18,0,0,22,27,10,10,1,0,1,0,1,1,Dropout
6,11,4,10.75,6,13,5,11.5,20,1,0,1,1,10,10,0,0,1,0,1,1,Enrolled
8,9,8,13.63,8,9,8,13.63,35,1,0,23,1,10,5,0,0,1,0,1,12,Graduate
5,8,3,13.0,5,7,4,11.5,21,0,0,22,27,1,1,1,0,1,0,1,1,Graduate
7,9,6,13.533333333333331,7,7,7,12.228571428571428,18,1,0,13,14,8,10,1,0,1,0,1,1,Enrolled
7,7,7,16.9,8,9,8,16.37777777777778,18,1,0,3,28,4,8,0,0,1,0,1,1,Graduate
6,10,5,12.0,6,11,4,12.0,18,0,0,13,14,6,9,1,0,1,0,1,1,Graduate
6,6,6,12.5,6,7,6,13.285714285714286,22,0,0,13,27,8,7,1,0,1,0,0,14,Graduate
8,8,7,12.764285714285714,8,8,7,12.764285714285714,19,0,0,1,1,5,11,1,0,1,0,1,1,Graduate
5,8,5,13.75,5,6,5,12.166666666666666,18,1,0,13,28,10,8,1,0,1,0,1,1,Graduate
0,0,0,0.0,0,0,0,0.0,19,0,0,24,1,4,5,1,0,1,1,1,1,Dropout
7,7,7,14.604285714285712,8,9,8,15.68333333333333,18,1,0,13,1,10,6,0,0,1,0,1,1,Graduate
6,7,6,0.0,5,7,0,0.0,31,0,0,13,29,10,4,0,0,1,1,1,12,Dropout
6,9,5,13.833333333333334,6,7,6,12.5,33,1,0,1,14,2,6,0,0,1,1,0,12,Graduate
8,8,8,13.57625,8,8,8,13.57625,19,1,0,13,28,8,8,1,0,1,0,1,1,Graduate
6,8,6,0.0,6,6,6,15.833333333333334,18,0,0,23,28,8,8,1,0,1,0,1,1,Graduate
5,8,3,10.666666666666666,5,8,5,11.6,23,0,0,7,14,5,4,0,0,1,0,1,1,Graduate
6,11,5,11.2,6,6,6,12.0,20,0,0,23,28,6,8,1,0,1,0,1,1,Graduate
8,8,8,13.76375,8,8,8,13.76375,18,0,0,23,28,5,9,1,0,1,0,1,1,Graduate
9,10,8,13.25,9,14,5,12.2,21,0,0,1,1,5,4,1,0,1,1,1,16,Enrolled
6,10,5,10.714285714285714,6,10,5,12.2,22,1,0,13,28,6,7,0,0,1,0,1,1,Graduate
6,6,6,0.0,6,8,6,0.0,20,0,0,1,27,5,5,1,0,1,1,1,1,Graduate
7,8,6,14.357142857142858,7,8,6,14.357142857142858,23,0,0,13,28,5,11,1,0,1,0,1,3,Graduate
6,6,6,12.833333333333334,6,6,6,12.666666666666666,19,0,0,3,1,5,6,1,0,1,0,1,1,Graduate
8,8,7,13.925714285714283,8,8,7,13.925714285714283,19,0,0,1,27,2,2,1,0,1,0,1,1,Graduate
5,8,2,12.0,6,9,3,0.0,18,0,0,13,27,8,5,1,0,1,0,0,1,Dropout
7,7,7,13.44285714285714,8,9,8,13.744444444444444,18,0,0,1,27,5,4,1,0,1,0,1,1,Graduate
5,5,1,16.0,5,5,0,0.0,18,0,1,1,27,8,8,1,0,1,0,1,1,Dropout
6,8,6,13.125,6,10,6,13.2,20,0,1,23,27,10,10,1,0,1,0,1,14,Graduate
6,7,0,0.0,6,6,0,0.0,19,0,1,3,1,5,5,0,0,1,0,1,1,Dropout
9,9,5,11.4,4,4,4,11.0,32,0,1,22,27,10,10,0,0,0,0,0,1,Dropout
4,12,2,11.0,5,9,3,11.666666666666666,31,0,1,13,14,5,5,0,0,0,0,1,1,Dropout
6,14,5,13.666666666666666,6,10,5,13.0,21,0,0,13,3,10,2,1,0,1,0,1,14,Graduate
6,10,4,11.75,5,6,1,10.0,31,0,0,22,27,5,10,0,0,0,0,0,1,Dropout
7,11,1,10.0,7,7,1,13.0,34,0,0,22,27,6,6,0,0,1,0,1,1,Dropout
6,8,6,13.5,6,9,6,12.833333333333334,18,1,0,13,14,10,10,0,0,1,0,1,1,Graduate
6,0,0,0.0,6,0,0,0.0,19,0,0,13,14,10,10,1,0,1,1,1,1,Dropout
6,12,1,12.0,6,11,1,11.0,21,0,0,13,27,4,7,1,0,1,1,1,16,Enrolled
6,11,3,13.0,6,10,5,11.8,18,0,0,23,27,6,4,1,0,0,0,1,1,Dropout
6,7,6,14.833333333333334,6,6,6,16.0,20,0,0,13,29,5,9,1,0,1,0,1,1,Graduate
6,6,6,11.833333333333334,6,7,6,12.857142857142858,20,0,0,23,27,10,6,1,0,1,0,1,1,Graduate
6,10,5,12.0,6,11,5,12.333333333333334,18,1,0,23,28,8,9,1,1,1,0,1,1,Graduate
6,11,4,12.75,6,7,6,11.333333333333334,19,0,0,23,28,8,9,1,0,1,0,1,1,Graduate
5,5,0,0.0,5,7,4,14.75,19,0,0,13,14,6,2,1,0,1,0,1,1,Enrolled
6,7,0,0.0,6,16,1,10.0,30,1,0,3,1,6,6,1,0,1,0,1,1,Dropout
6,6,6,12.0,6,7,6,12.857142857142858,19,0,0,13,28,6,6,1,0,1,0,1,1,Graduate
7,9,7,11.677777777777775,8,8,8,0.0,18,0,0,23,27,10,8,1,0,1,0,1,1,Graduate
8,8,7,13.6,8,8,7,13.6,19,1,0,1,27,5,8,1,0,1,0,1,1,Graduate
6,7,6,16.0,6,8,6,15.875,19,0,0,13,28,10,10,1,0,1,0,1,1,Graduate
6,8,5,11.8,6,7,6,11.5,20,0,0,1,27,4,4,1,0,1,0,1,1,Graduate
6,5,0,0.0,6,7,2,14.0,25,0,0,13,27,10,10,0,0,1,1,1,1,Dropout
6,0,0,0.0,6,0,0,0.0,19,0,1,13,14,10,10,0,0,1,0,1,1,Dropout
6,7,6,16.142857142857142,6,10,6,16.2,34,1,0,22,14,8,4,0,0,1,1,1,1,Graduate
8,8,7,11.785714285714286,8,8,7,11.785714285714286,18,1,0,23,27,10,6,1,0,1,0,1,1,Graduate
8,8,8,13.42375,8,8,8,13.42375,18,1,0,1,1,5,6,1,0,1,0,1,1,Graduate
6,8,6,12.5,6,10,5,14.166666666666666,20,0,0,23,28,10,11,0,0,1,0,1,1,Graduate
8,8,7,12.464285714285714,8,8,7,12.464285714285714,20,1,0,13,27,10,8,1,0,1,0,1,1,Graduate
11,18,8,12.375,9,15,5,12.6,23,0,0,23,28,29,44,0,0,1,1,0,1,Enrolled
6,8,1,10.0,6,9,0,0.0,28,0,0,22,27,7,7,0,0,1,0,1,1,Dropout
6,8,5,12.6,6,10,6,12.428571428571429,18,0,0,22,14,10,11,0,0,1,0,1,1,Enrolled
5,5,5,12.6,5,6,4,12.4,19,0,0,13,28,10,10,1,0,1,0,1,1,Graduate
5,7,2,10.0,6,6,4,0.0,34,0,0,23,27,10,10,1,0,1,0,1,1,Graduate
7,7,0,0.0,6,0,0,0.0,35,0,0,22,27,8,9,0,0,1,0,1,1,Dropout
5,7,5,11.6,5,8,5,12.333333333333334,32,0,0,22,27,10,8,0,0,1,0,0,15,Graduate
6,8,6,12.166666666666666,6,6,6,13.5,19,0,0,13,14,5,8,1,0,1,0,1,1,Graduate
6,10,4,13.6,6,7,5,12.666666666666666,18,0,0,1,14,10,8,1,0,1,0,1,1,Graduate
5,8,4,12.5,5,8,5,11.8,35,0,0,22,27,10,10,0,0,0,0,1,1,Dropout
6,6,4,12.25,6,10,4,11.5,24,1,1,1,10,5,6,0,0,1,0,0,1,Enrolled
6,7,6,11.714285714285714,6,8,6,12.625,20,1,0,13,27,10,10,1,0,1,0,1,1,Graduate
6,7,6,13.5,6,7,6,13.0,18,1,1,13,14,5,10,1,0,1,0,1,1,Graduate
8,8,6,0.0,6,8,7,0.0,20,0,1,23,14,8,10,1,0,1,0,1,1,Graduate
6,12,0,0.0,6,0,0,0.0,18,0,1,1,14,5,8,1,0,0,0,1,1,Dropout
5,6,5,17.333333333333332,5,8,5,18.571428571428573,18,1,1,13,14,5,5,0,0,1,0,1,1,Graduate
5,7,4,11.0,5,7,4,11.5,20,1,1,13,27,6,8,0,0,1,0,1,1,Graduate
7,10,6,13.666666666666666,7,9,6,12.5,19,0,1,13,28,4,4,1,0,1,0,1,1,Dropout
6,9,6,11.375,6,6,5,13.8,20,1,1,1,1,5,10,1,0,1,0,1,1,Enrolled
6,6,6,12.833333333333334,6,8,6,11.833333333333334,19,0,1,13,1,10,10,0,0,1,0,1,1,Graduate
6,8,6,14.333333333333334,8,9,7,13.771428571428572,22,0,1,13,14,10,8,1,0,1,0,1,1,Graduate
5,8,4,13.5,6,10,6,13.625,18,1,1,1,14,10,9,0,0,1,0,1,1,Enrolled
8,8,7,14.285714285714286,8,8,7,14.285714285714286,19,0,1,23,28,10,10,0,0,1,0,1,1,Graduate
6,15,3,11.75,6,12,2,10.0,22,0,1,1,14,10,8,0,0,1,0,1,14,Dropout
5,5,5,14.8,5,5,5,17.6,20,0,1,4,10,3,10,1,0,1,0,1,1,Graduate
6,7,0,0.0,6,0,0,0.0,34,0,1,1,31,10,4,0,0,0,1,1,1,Dropout
6,14,1,10.0,5,5,0,0.0,24,0,1,1,1,5,5,0,0,1,0,0,12,Dropout
5,5,0,0.0,5,5,0,0.0,26,0,1,19,24,1,1,1,0,1,0,1,1,Dropout
7,10,4,12.6,7,9,5,12.38,35,0,1,22,27,10,7,0,0,1,0,1,1,Dropout
5,9,5,12.428571428571429,5,7,5,11.8,22,0,1,2,27,5,10,1,0,1,0,0,1,Graduate
6,8,4,10.0,6,8,3,12.0,26,0,1,23,28,10,6,1,0,1,0,1,1,Graduate
5,7,3,12.333333333333334,5,5,0,0.0,19,0,1,1,14,4,5,0,0,1,0,1,1,Dropout
6,0,0,0.0,6,0,0,0.0,19,0,1,3,14,4,10,1,0,0,0,1,1,Dropout
0,0,0,0.0,0,0,0,0.0,20,0,1,3,3,3,3,0,0,1,1,1,14,Graduate
11,12,10,12.1,8,9,8,13.333333333333334,21,0,1,3,3,2,11,0,0,1,1,1,1,Graduate
6,7,6,14.714285714285714,6,6,6,15.0,19,1,0,1,14,8,8,1,0,1,0,1,1,Graduate
6,6,6,12.666666666666666,6,7,6,12.833333333333334,18,0,0,13,14,10,10,1,0,1,0,1,1,Graduate
12,14,12,14.384615384615383,10,12,10,13.3,23,1,0,1,28,9,9,0,0,1,0,1,16,Graduate
5,5,5,13.4,5,6,5,12.2,18,1,0,13,28,6,8,1,0,1,0,1,1,Graduate
8,8,7,13.314285714285717,8,8,7,13.314285714285717,18,0,0,22,28,6,8,1,0,1,0,1,1,Graduate
8,8,7,11.98857142857143,8,8,7,11.98857142857143,19,0,0,23,28,10,10,1,0,1,0,1,1,Graduate
11,17,11,11.545454545454543,9,13,8,12.88888888888889,21,0,0,1,14,21,37,1,0,1,0,1,16,Graduate
6,13,6,16.46153846153846,6,8,6,13.875,18,1,0,22,27,10,7,1,0,1,0,1,1,Graduate
6,7,6,13.666666666666666,6,6,6,12.833333333333334,24,1,0,23,27,10,6,1,0,1,0,1,1,Graduate
7,8,6,12.65,8,9,8,13.411111111111111,18,0,0,3,29,3,4,1,0,1,0,1,1,Dropout
